Movie Title,Movie Codec,File Size,Folder Name,Multiple Movie Files? (Y/N),Additional Movie Files
done-hangover-sample.avi,MPEG-4 Visual,6707200,Sample,N,
A Wrinkle in Time (2018) Bluray-1080p.mkv,AVC,11901041946,A Wrinkle in Time (2018),N,
The Last Voyage of the Demeter (2023) WEBRip-1080p.mkv,HEVC,6251806233,The Last Voyage of the Demeter (2023),N,
Transformers (2007) Bluray-1080p.mkv,AVC,13237644722,Transformers (2007),N,
Austin Powers in Goldmember (2002) Bluray-1080p.mkv,AVC,8530940011,Austin Powers in Goldmember (2002),N,
Mulan (2020) WEBDL-2160p.mkv,AVC,12061991202,Mulan (2020),N,
Madagascar 2005.1080p.BrRip.x264.YIFY.mp4,AVC,1072977374,Madagascar,N,
TRON Legacy (2010) DVDRip XviD-MAXSPEED www.torentz.3xforum.ro.avi,MPEG-4 Visual,1590731424,TRON Legacy,N,
The League Of Extraordinary Gentlemen.mp4,AVC,2319953913,The League Of Extraordinary Gentlemen,N,
The League Of Extraordinary Gentlemen Sample.mp4,AVC,14726178,"Subtitle,Sample,info",N,
The Mask (1994) Bluray-1080p.mkv,AVC,8531853831,The Mask (1994),N,
Role Models (2008) Bluray-1080p.mp4,HEVC,1691917859,Role Models,Y,Role.Models.BrRip.720p.x264.YIFY.mkv
Role.Models.BrRip.720p.x264.YIFY.mkv,AVC,523609789,Role Models,Y,Role Models (2008) Bluray-1080p.mp4
2008 - The Little Mermaid - Ariel's Beginning.avi,MPEG-4 Visual,735485952,The Little Mermaid - Ariel's Beginning,N,
Oz.the.Great.and.Powerful.2013.720p.BluRay.x264.YIFY.mp4,AVC,971766040,Oz the Great and Powerful,N,
Black Panther - Wakanda Forever (2022) Bluray-1080p.mp4,AVC,3302394170,Black Panther - Wakanda Forever (2022),N,
The Hunger Games - Mockingjay - Part 1 (2014) Bluray-1080p.mkv,AVC,8532422452,The Hunger Games Mockingjay - Part 1,Y,The Hunger Games Mockingjay - Part 1.mkv
The Hunger Games Mockingjay - Part 1.mkv,AVC,3589850830,The Hunger Games Mockingjay - Part 1,Y,The Hunger Games - Mockingjay - Part 1 (2014) Bluray-1080p.mkv
Star Wars The Force Awakens.mkv,AVC,5062396620,Star Wars The Force Awakens (2015),N,
American Pie.mkv,AVC,5615660735,American Pie (1999),N,
Fantastic Four.avi,MPEG-4 Visual,1525004288,Fantastic Four (2015),N,
Watchmen (2009) Bluray-1080p.mkv,AVC,7681580639,Watchmen (2009),N,
Cars.2.2011.Hybrid.1080p.BluRay.x264-EbP.mkv,AVC,8365027305,Cars 2 (2011),N,
Ghostbusters - Afterlife (2021) Bluray-2160p.mkv,HEVC,14052601398,Ghostbusters - Afterlife (2021),N,
The.Lone.Ranger.2013.720p.BluRay.x264.YIFY.mp4,AVC,1035289482,The Lone Ranger,N,
2002 - The Hunchback of Notre Dame II.avi,MPEG-4 Visual,733067264,The Hunchback of Notre Dame II,N,
Spaceballs.1987.720p.BluRay.x264.YIFY.mp4,AVC,629665631,Spaceballs,N,
The Other Guys (2010) Bluray-1080p.mkv,AVC,9392450493,The Other Guys,Y,The Other Guys.avi
The Other Guys.avi,MPEG-4 Visual,732188796,The Other Guys,Y,The Other Guys (2010) Bluray-1080p.mkv
The Prince Of Egypt [1998].m4v,AVC,2099440773,The Prince Of Egypt,N,
The.Avengers.2012.1080p.BluRay.x264.YIFY.mp4,AVC,2358359343,The Avengers,N,
The Craft.mp4,AVC,2068278793,"Craft, The (1996)",N,
The Amazing Spider-Man (2012) Bluray-1080p.mp4,HEVC,2280176217,The Amazing Spiderman,Y,The Amazing Spiderman.avi
The Amazing Spiderman.avi,MPEG-4 Visual,1473212416,The Amazing Spiderman,Y,The Amazing Spider-Man (2012) Bluray-1080p.mp4
1995 - Pocahontas.avi,MPEG-4 Visual,733792256,Pocahontas,N,
The Prestige (2006) Bluray-1080p.mp4,HEVC,2183465118,The Prestige,N,
2000 - An Extremely Goofy Movie.avi,MPEG-4 Visual,734468096,An Extremely Goofy Movie,N,
Interstellar.mkv,AVC,1842348032,Interstellar (2014),N,
1993 - The Nightmare Before Christmas.avi,MPEG-4 Visual,734683136,The Nightmare Before Christmas,N,
2002 - Treasure Planet.avi,MPEG-4 Visual,951043526,Treasure Planet,N,
The.Expendables.3.2014.720p.BluRay.x264.YIFY.mp4,AVC,915674777,The Expendables 3,N,
Star Wars - The Rise of Skywalker (2019) Bluray-2160p.mkv,HEVC,5047532815,Star Wars The Rise of Skywalker (2019),N,
Shakespeare.In.Love.mkv,AVC,631150037,Shakespeare In Love,N,
Teenage Mutant Ninja Turtles Out of the Shadows-trailer.mov,AVC,91094727,Teenage Mutant Ninja Turtles Out of the Shadows (2016),Y,Teenage Mutant Ninja Turtles Out of the Shadows.mp4
Teenage Mutant Ninja Turtles Out of the Shadows.mp4,AVC,4293109954,Teenage Mutant Ninja Turtles Out of the Shadows (2016),Y,Teenage Mutant Ninja Turtles Out of the Shadows-trailer.mov
Kung Fu Panda (2008) Bluray-1080p.mp4,AVC,1888465838,Kung Fu Panda (2008),N,
2008 Bolt.mp4,AVC,1544963232,Bolt,N,
2008 Bolt.sfv,,17832,Bolt,N,2008 Bolt.mp4
Mystery Men.mkv,AVC,11703802267,Mystery Men (1999),N,
Miss Peregrine's Home for Peculiar Children.mkv,AVC,5399507138,Miss Peregrine's Home for Peculiar Children (2016),Y,Miss Peregrine's Home for Peculiar Children-trailer.mov
Miss Peregrine's Home for Peculiar Children-trailer.mov,AVC,100628540,Miss Peregrine's Home for Peculiar Children (2016),Y,Miss Peregrine's Home for Peculiar Children.mkv
Monsters.University.2013.1080p.BluRay.x264.YIFY.mp4,AVC,1765880293,Monsters University,N,
Futurama - The Beast With A Billion Backs.avi,MPEG-4 Visual,731060224,Futurama,Y,"Futurama - Benders Game.avi, Futurama - Benders Big Score.avi, futurama into the wild green yonder.avi"
Futurama - Benders Game.avi,MPEG-4 Visual,734269440,Futurama,Y,"Futurama - The Beast With A Billion Backs.avi, Futurama - Benders Big Score.avi, futurama into the wild green yonder.avi"
Futurama - Benders Big Score.avi,MPEG-4 Visual,730939576,Futurama,Y,"Futurama - The Beast With A Billion Backs.avi, Futurama - Benders Game.avi, futurama into the wild green yonder.avi"
futurama into the wild green yonder.avi,MPEG-4 Visual,734668794,Futurama,Y,"Futurama - The Beast With A Billion Backs.avi, Futurama - Benders Game.avi, Futurama - Benders Big Score.avi"
Mr Deeds[DVDrip][ENG][MP3][KonzillaRG].avi,MPEG-4 Visual,734546472,Mr Deeds,Y,Mr. Deeds (2002) Bluray-1080p.mp4
Mr. Deeds (2002) Bluray-1080p.mp4,AVC,4289368926,Mr Deeds,Y,Mr Deeds[DVDrip][ENG][MP3][KonzillaRG].avi
Rat Race.mkv,AVC,4342122792,Rat Race (2001),N,
Jumper (2008) Bluray-1080p.mp4,AVC,1809427282,Jumper (2008),N,
